127.0.0.1, 2018-06-28 16:40:50, GET, /, HTTP/1.1, 303, 0.003000
127.0.0.1, 2018-06-28 16:55:47, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.463000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.017000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.039000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.019000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.043000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.005000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.034000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:55:48, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002000

127.0.0.1, 2018-06-28 16:55:55, GET, /Raynime/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-28 16:55:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-28 16:56:23, GET, /admin/default/index, HTTP/1.1, 303, 0.233000
127.0.0.1, 2018-06-28 16:56:23, GET, /admin/default/site, HTTP/1.1, 200, 0.079000
127.0.0.1, 2018-06-28 16:56:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:56:24, GET, /Raynime/default/index, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-28 16:56:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:56:27, GET, /admin/default/site, HTTP/1.1, 200, 0.022000
127.0.0.1, 2018-06-28 16:56:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-28 16:58:05, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.153000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 16:58:06, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 16:58:11, GET, /admin/default/index, HTTP/1.1, 303, 0.082000
127.0.0.1, 2018-06-28 16:58:11, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-28 16:58:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:58:24, POST, /admin/default/site, HTTP/1.1, 303, 0.439000
127.0.0.1, 2018-06-28 16:58:24, GET, /admin/default/design/Raynime, HTTP/1.1, 200, 0.104000
127.0.0.1, 2018-06-28 16:58:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-28 16:58:29, GET, /aRaynime, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-28 16:58:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime, HTTP/1.1, 200, 0.158000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 16:58:38, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.178000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:09, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:13, GET, /Raynime/default/index, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-06-28 17:00:30, GET, /admin/default/site, HTTP/1.1, 200, 0.126000
127.0.0.1, 2018-06-28 17:00:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:00:33, GET, /Raynime/default/site, HTTP/1.1, 404, 0.008000
127.0.0.1, 2018-06-28 17:00:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/default/, HTTP/1.1, 200, 0.015000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:00:40, GET, /Raynime/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /, HTTP/1.1, 303, 0.016000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.152000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:29, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:43:35, GET, /Raynime/default/index, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-06-28 17:43:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:54:58, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.153000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:54:59, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:19, GET, /admin/default/index, HTTP/1.1, 303, 0.083000
127.0.0.1, 2018-06-28 17:55:19, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-28 17:55:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:55:33, POST, /admin/default/site, HTTP/1.1, 303, 0.748000
127.0.0.1, 2018-06-28 17:55:33, GET, /admin/default/design/Raynime, HTTP/1.1, 200, 0.132000
127.0.0.1, 2018-06-28 17:55:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime, HTTP/1.1, 200, 0.211000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-06-28 17:55:42, GET, /Raynime/static/images/facebook.png, HTTP/1.1, 304, 0.000000
